ZIP Code,County
46001,Madison
46011,Madison
46012,Madison
46013,Madison
46014,Madison
46015,Madison
46016,Madison
46017,Madison
46018,Madison
46030,Hamilton
46031,Hamilton
46032,Hamilton
46033,Hamilton
46034,Hamilton
46035,Clinton
46036,Madison
46037,Hamilton
46038,Hamilton
46039,Clinton
46040,Hancock
46041,Clinton
46044,Madison
46045,Tipton
46047,Tipton
46048,Madison
46049,Tipton
46050,Clinton
46051,Madison
46052,Boone
46055,Hancock
46056,Madison
46057,Clinton
46058,Clinton
46060,Hamilton
46061,Hamilton
46062,Hamilton
46063,Madison
46064,Madison
46065,Clinton
46067,Clinton
46068,Tipton
46069,Hamilton
46070,Madison
46071,Boone
46072,Tipton
46074,Hamilton
46075,Boone
46076,Tipton
46077,Boone
46082,Hamilton
46085,Hamilton
46102,Boone
46103,Hendricks
46104,Rush
46105,Putnam
46106,Johnson
46107,Marion
46110,Shelby
46111,Morgan
46112,Hendricks
46113,Marion
46115,Rush
46117,Hancock
46118,Hendricks
46120,Putnam
46121,Hendricks
46122,Hendricks
46123,Hendricks
46124,Johnson
46125,Morgan
46126,Shelby
46127,Rush
46128,Putnam
46129,Hancock
46130,Shelby
46131,Johnson
46133,Fayette
46135,Putnam
46140,Hancock
46142,Johnson
46143,Johnson
46144,Shelby
46146,Rush
46147,Boone
46148,Henry
46149,Hendricks
46150,Rush
46151,Morgan
46154,Hancock
46155,Rush
46156,Rush
46157,Morgan
46158,Morgan
46160,Brown
46161,Shelby
46162,Johnson
46163,Hancock
46164,Johnson
46165,Hendricks
46166,Morgan
46167,Hendricks
46168,Hendricks
46170,Putnam
46171,Putnam
46172,Putnam
46173,Rush
46175,Putnam
46176,Shelby
46180,Hendricks
46181,Johnson
46182,Shelby
46183,Marion
46184,Johnson
46186,Hancock
46201,Marion
46202,Marion
46203,Marion
46204,Marion
46205,Marion
46206,Marion
46207,Marion
46208,Marion
46209,Marion
46211,Marion
46213,Marion
46214,Marion
46216,Marion
46217,Marion
46218,Marion
46219,Marion
46220,Marion
46221,Marion
46222,Marion
46224,Marion
46225,Marion
46226,Marion
46227,Marion
46228,Marion
46229,Marion
46230,Marion
46231,Marion
46234,Marion
46235,Marion
46236,Marion
46237,Marion
46239,Marion
46240,Marion
46241,Marion
46242,Marion
46244,Marion
46247,Marion
46249,Marion
46250,Marion
46251,Marion
46253,Marion
46254,Marion
46255,Marion
46256,Marion
46259,Marion
46260,Marion
46262,Hamilton
46266,Marion
46268,Marion
46274,Marion
46275,Marion
46277,Marion
46278,Marion
46280,Hamilton
46282,Marion
46283,Marion
46285,Marion
46288,Hamilton
46290,Hamilton
46291,Marion
46295,Marion
46296,Marion
46298,Marion
46301,Porter
46302,Porter
46303,Lake
46304,Porter
46307,Lake
46308,Lake
46310,Jasper
46311,Lake
46312,Lake
46319,Lake
46320,Lake
46321,Lake
46322,Lake
46323,Lake
46324,Lake
46325,Lake
46327,Lake
46340,LaPorte
46341,Porter
46342,Lake
46345,LaPorte
46346,LaPorte
46347,Porter
46348,LaPorte
46349,Newton
46350,LaPorte
46352,LaPorte
46355,Lake
46356,Lake
46360,LaPorte
46361,LaPorte
46365,LaPorte
46366,Starke
46368,Porter
46371,LaPorte
46372,Newton
46373,Lake
46374,Starke
46375,Lake
46376,Lake
46377,Lake
46379,Newton
46380,Jasper
46381,Newton
46382,LaPorte
46383,Porter
46384,Porter
46385,Porter
46390,LaPorte
46391,LaPorte
46392,Jasper
46393,Porter
46394,Lake
46401,Lake
46402,Lake
46403,Lake
46404,Lake
46405,Lake
46406,Lake
46407,Lake
46408,Lake
46409,Lake
46410,Lake
46411,Lake
46501,Marshall
46502,Kosciusko
46504,Marshall
46506,Marshall
46507,Elkhart
46508,Kosciusko
46510,Kosciusko
46511,Marshall
46513,Marshall
46514,Elkhart
46515,Elkhart
46516,Elkhart
46517,Elkhart
46524,Kosciusko
46526,Elkhart
46527,Elkhart
46528,Elkhart
46530,St. Joseph
46531,Starke
46532,Starke
46534,Starke
46536,St. Joseph
46537,Marshall
46538,Kosciusko
46539,Kosciusko
46540,Elkhart
46542,Kosciusko
46543,Elkhart
46544,St. Joseph
46545,St. Joseph
46546,St. Joseph
46550,Elkhart
46552,St. Joseph
46553,Elkhart
46554,St. Joseph
46555,Kosciusko
46556,St. Joseph
46561,St. Joseph
46562,Kosciusko
46563,Marshall
46565,LaGrange
46567,Kosciusko
46570,Marshall
46571,LaGrange
46572,Marshall
46573,Elkhart
46574,St. Joseph
46580,Kosciusko
46581,Kosciusko
46582,Kosciusko
46590,Kosciusko
46595,St. Joseph
46601,St. Joseph
46613,St. Joseph
46614,St. Joseph
46615,St. Joseph
46616,St. Joseph
46617,St. Joseph
46619,St. Joseph
46624,St. Joseph
46626,St. Joseph
46628,St. Joseph
46634,St. Joseph
46635,St. Joseph
46637,St. Joseph
46660,St. Joseph
46680,St. Joseph
46699,St. Joseph
46701,Noble
46702,Huntington
46703,Steuben
46704,Allen
46705,DeKalb
46706,DeKalb
46710,Noble
46711,Adams
46713,Huntington
46714,Wells
46721,DeKalb
46723,Whitley
46725,Whitley
46730,DeKalb
46731,Wells
46732,Noble
46733,Adams
46737,Steuben
46738,DeKalb
46740,Adams
46741,Allen
46742,Steuben
46743,Allen
46745,Allen
46746,LaGrange
46747,Steuben
46748,Allen
46750,Huntington
46755,Noble
46759,Wells
46760,Noble
46761,LaGrange
46763,Noble
46764,Whitley
46765,Allen
46766,Wells
46767,Noble
46769,Adams
46770,Huntington
46771,LaGrange
46772,Adams
46773,Allen
46774,Allen
46776,Steuben
46777,Wells
46778,Wells
46779,Steuben
46780,Adams
46781,Wells
46782,Adams
46783,Huntington
46784,Noble
46785,DeKalb
46786,LaGrange
46787,Whitley
46788,DeKalb
46789,LaGrange
46791,Wells
46792,Huntington
46793,DeKalb
46794,Noble
46795,LaGrange
46796,Noble
46797,Allen
46798,Allen
46799,Allen
46801,Allen
46802,Allen
46803,Allen
46804,Allen
46805,Allen
46806,Allen
46807,Allen
46808,Allen
46809,Allen
46814,Allen
46815,Allen
46816,Allen
46818,Allen
46819,Allen
46825,Allen
46835,Allen
46845,Allen
46850,Allen
46851,Allen
46852,Allen
46853,Allen
46854,Allen
46855,Allen
46856,Allen
46857,Allen
46858,Allen
46859,Allen
46860,Allen
46861,Allen
46862,Allen
46863,Allen
46864,Allen
46865,Allen
46866,Allen
46867,Allen
46868,Allen
46869,Allen
46885,Allen
46895,Allen
46896,Allen
46897,Allen
46898,Allen
46899,Allen
46901,Howard
46902,Howard
46903,Howard
46904,Howard
46910,Fulton
46911,Miami
46912,Fulton
46913,Carroll
46914,Miami
46915,Carroll
46916,Carroll
46917,Carroll
46919,Miami
46920,Carroll
46921,Miami
46922,Fulton
46923,Carroll
46926,Miami
46928,Grant
46929,Carroll
46930,Grant
46931,Fulton
46932,Cass
46933,Grant
46935,Fulton
46936,Howard
46937,Howard
46938,Grant
46939,Fulton
46940,Wabash
46941,Wabash
46942,Cass
46943,Wabash
46945,Fulton
46946,Wabash
46947,Cass
46950,Cass
46951,Miami
46952,Grant
46953,Grant
46957,Grant
46958,Miami
46959,Miami
46960,Pulaski
46961,Cass
46962,Wabash
46965,Howard
46967,Cass
46968,Starke
46970,Miami
46971,Miami
46974,Wabash
46975,Fulton
46977,Carroll
46978,Cass
46979,Howard
46980,Wabash
46982,Kosciusko
46984,Wabash
46985,Pulaski
46986,Grant
46987,Grant
46988,Cass
46989,Grant
46990,Wabash
46991,Grant
46992,Wabash
46994,Cass
46995,Howard
46996,Pulaski
46998,Cass
47001,Dearborn
47003,Franklin
47006,Ripley
47010,Franklin
47011,Switzerland
47012,Franklin
47016,Franklin
47017,Ripley
47018,Dearborn
47019,Switzerland
47020,Switzerland
47021,Ripley
47022,Dearborn
47023,Ripley
47024,Franklin
47025,Dearborn
47030,Franklin
47031,Ripley
47032,Dearborn
47033,Ripley
47034,Ripley
47035,Franklin
47036,Franklin
47037,Ripley
47038,Switzerland
47039,Ripley
47040,Ohio
